                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79126,                 1.2258,                 1.1088,                0.85657,                0.91518,                 0.9227,                0.79955,                0.65143,                 1.2219,                0.93777,             0.00041026,             0.00041026,             0.00041026
                      2,                0.78202,                 0.6525,                 1.0868,                0.85937,                0.82969,                 0.9023,                0.71978,                0.74107,                0.87345,                 1.0689,             0.00079963,             0.00079963,             0.00079963
                      3,                 0.8169,                0.63268,                 1.1038,                0.88124,                0.73442,                0.84222,                0.63329,                 0.8402,                 1.3344,                 1.0298,              0.0011615,              0.0011615,              0.0011615
                      4,                0.80157,                 0.5921,                 1.0973,                0.96263,                 0.9958,                  0.995,                0.82247,                0.70954,                0.51642,                  0.991,              0.0011263,              0.0011263,              0.0011263
                      5,                0.77134,                0.58593,                  1.071,                0.93342,                0.97466,                0.98422,                0.84322,                0.62362,                0.56464,                0.99659,              0.0011263,              0.0011263,              0.0011263
                      6,                0.73142,                0.52469,                 1.0551,                0.98612,                      1,                  0.995,                0.88298,                0.57006,                0.44659,                0.91911,               0.001085,               0.001085,               0.001085
                      7,                  0.732,                0.51764,                 1.0538,                0.97559,                0.98611,                0.98923,                0.85543,                0.61455,                0.45119,                0.92839,              0.0010438,              0.0010438,              0.0010438
                      8,                0.72504,                0.50152,                 1.0588,                0.95489,                0.99028,                0.98528,                0.86473,                 0.5838,                0.39095,                0.93316,              0.0010025,              0.0010025,              0.0010025
                      9,                0.67804,                 0.4719,                 1.0313,                0.99609,                      1,                  0.995,                0.88197,                0.54384,                0.35486,                0.89063,             0.00096125,             0.00096125,             0.00096125
                     10,                0.67602,                0.45715,                 1.0298,                 0.9833,                      1,                0.99115,                0.88487,                0.53647,                0.34336,                 0.9096,                0.00092,                0.00092,                0.00092
                     11,                0.65185,                0.44612,                 1.0091,                0.98061,                      1,                  0.995,                0.87752,                0.56644,                0.40481,                0.90968,             0.00087875,             0.00087875,             0.00087875
                     12,                0.64438,                0.43273,                  1.009,                 0.9947,                      1,                  0.995,                0.90622,                0.51313,                 0.3209,                 0.9015,              0.0008375,              0.0008375,              0.0008375
                     13,                0.62305,                0.42219,                 1.0033,                0.98459,                      1,                0.99462,                0.89731,                0.52713,                0.31174,                0.89878,             0.00079625,             0.00079625,             0.00079625
                     14,                0.60706,                0.40765,                0.99831,                0.99444,                      1,                  0.995,                0.91655,                0.49004,                 0.2937,                0.89028,               0.000755,               0.000755,               0.000755
                     15,                0.59975,                0.39464,                0.99657,                0.99657,                      1,                  0.995,                0.90452,                0.54147,                0.30172,                0.90947,             0.00071375,             0.00071375,             0.00071375
                     16,                0.59474,                0.39604,                0.99696,                0.99634,                 0.9993,                  0.995,                0.88859,                0.53637,                0.30146,                 0.8957,              0.0006725,              0.0006725,              0.0006725
                     17,                0.58716,                0.39631,                0.99148,                0.99403,                      1,                  0.995,                 0.9016,                0.50158,                0.29089,                0.89385,             0.00063125,             0.00063125,             0.00063125
                     18,                0.56287,                 0.3755,                0.97658,                0.99693,                      1,                  0.995,                0.91984,                0.48717,                0.26347,                0.87146,                0.00059,                0.00059,                0.00059
                     19,                0.55445,                0.36402,                0.97933,                0.99382,                      1,                  0.995,                0.92032,                0.42959,                0.25158,                0.85148,             0.00054875,             0.00054875,             0.00054875
                     20,                0.54316,                 0.3563,                 0.9695,                0.99469,                      1,                  0.995,                0.91763,                0.45913,                0.24631,                 0.8682,              0.0005075,              0.0005075,              0.0005075
                     21,                0.47619,                0.31751,                0.92605,                0.99567,                      1,                  0.995,                0.91925,                0.45727,                0.26794,                0.86737,             0.00046625,             0.00046625,             0.00046625
                     22,                0.47587,                0.31336,                0.92932,                0.99777,                      1,                  0.995,                0.92081,                0.44754,                0.25825,                0.86418,               0.000425,               0.000425,               0.000425
                     23,                0.45075,                 0.3002,                0.91495,                0.99715,                      1,                  0.995,                0.92013,                0.44412,                0.25464,                0.86549,             0.00038375,             0.00038375,             0.00038375
                     24,                0.43703,                0.28919,                0.90482,                0.99739,                      1,                  0.995,                0.92401,                0.42977,                0.24473,                0.85138,              0.0003425,              0.0003425,              0.0003425
                     25,                0.43146,                0.28299,                0.90061,                0.99639,                      1,                  0.995,                0.93353,                0.42115,                 0.2339,                0.84787,             0.00030125,             0.00030125,             0.00030125
                     26,                0.42033,                0.27476,                0.90401,                0.99771,                      1,                  0.995,                0.92845,                0.44318,                0.23117,                0.85766,                0.00026,                0.00026,                0.00026
                     27,                0.40832,                0.26738,                0.89225,                 0.9968,                      1,                  0.995,                0.93074,                0.42392,                0.23461,                0.85449,             0.00021875,             0.00021875,             0.00021875
                     28,                0.39643,                0.25506,                0.88836,                0.99661,                      1,                  0.995,                0.94018,                0.41411,                0.21291,                0.84036,              0.0001775,              0.0001775,              0.0001775
                     29,                0.39179,                0.25164,                0.88649,                0.99681,                      1,                  0.995,                0.94185,                 0.4097,                 0.2071,                0.83868,             0.00013625,             0.00013625,             0.00013625
                     30,                0.37432,                0.23634,                 0.8755,                 0.9978,                      1,                  0.995,                0.94459,                0.39767,                0.20544,                0.83859,                9.5e-05,                9.5e-05,                9.5e-05
