                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79126,                 1.2258,                 1.1088,                0.83998,                0.92209,                0.91643,                0.79248,                0.65092,                 1.2071,                0.93734,             0.00041026,             0.00041026,             0.00041026
                      1,                0.78202,                 0.6525,                 1.0868,                0.85953,                0.83151,                0.90317,                0.72306,                0.74235,                0.87039,                 1.0695,             0.00079963,             0.00079963,             0.00079963
                      2,                 0.8169,                0.63268,                 1.1038,                0.88145,                0.73436,                0.84174,                0.63287,                 0.8399,                 1.3326,                 1.0296,              0.0011615,              0.0011615,              0.0011615
                      3,                0.80157,                 0.5921,                 1.0973,                0.96266,                0.99588,                0.99434,                0.82154,                0.70946,                0.51694,                0.99106,              0.0011263,              0.0011263,              0.0011263
                      4,                0.77134,                0.58593,                  1.071,                0.93342,                0.97466,                0.98422,                0.84318,                0.62351,                0.56402,                0.99658,              0.0011263,              0.0011263,              0.0011263
                      5,                0.73142,                0.52469,                 1.0551,                0.98609,                      1,                  0.995,                0.88286,                0.57015,                0.44692,                0.91914,               0.001085,               0.001085,               0.001085
                      6,                  0.732,                0.51764,                 1.0538,                0.97559,                0.98611,                0.98923,                0.85532,                0.61465,                0.45118,                0.92853,              0.0010438,              0.0010438,              0.0010438
                      7,                0.72504,                0.50152,                 1.0588,                0.95489,                0.99028,                0.98528,                0.86473,                 0.5838,                0.39095,                0.93316,              0.0010025,              0.0010025,              0.0010025
                      8,                0.67804,                 0.4719,                 1.0313,                0.99609,                      1,                  0.995,                0.88197,                0.54384,                0.35486,                0.89063,             0.00096125,             0.00096125,             0.00096125
                      9,                0.67602,                0.45715,                 1.0298,                 0.9833,                      1,                0.99115,                0.88487,                0.53647,                0.34336,                 0.9096,                0.00092,                0.00092,                0.00092
                     10,                0.65185,                0.44612,                 1.0091,                0.98061,                      1,                  0.995,                0.87752,                0.56644,                0.40481,                0.90968,             0.00087875,             0.00087875,             0.00087875
                     11,                0.64438,                0.43273,                  1.009,                 0.9947,                      1,                  0.995,                0.90622,                0.51313,                 0.3209,                 0.9015,              0.0008375,              0.0008375,              0.0008375
                     12,                0.62305,                0.42219,                 1.0033,                0.98459,                      1,                0.99462,                0.89731,                0.52713,                0.31174,                0.89878,             0.00079625,             0.00079625,             0.00079625
                     13,                0.60706,                0.40765,                0.99831,                0.99444,                      1,                  0.995,                0.91655,                0.49004,                 0.2937,                0.89028,               0.000755,               0.000755,               0.000755
                     14,                0.59975,                0.39464,                0.99657,                0.99657,                      1,                  0.995,                0.90452,                0.54147,                0.30172,                0.90947,             0.00071375,             0.00071375,             0.00071375
                     15,                0.59474,                0.39604,                0.99696,                0.99634,                 0.9993,                  0.995,                0.88859,                0.53637,                0.30146,                 0.8957,              0.0006725,              0.0006725,              0.0006725
                     16,                0.58716,                0.39631,                0.99148,                0.99403,                      1,                  0.995,                 0.9016,                0.50158,                0.29089,                0.89385,             0.00063125,             0.00063125,             0.00063125
                     17,                0.56287,                 0.3755,                0.97658,                0.99693,                      1,                  0.995,                0.91984,                0.48717,                0.26347,                0.87146,                0.00059,                0.00059,                0.00059
                     18,                0.55445,                0.36402,                0.97933,                0.99382,                      1,                  0.995,                0.92032,                0.42959,                0.25158,                0.85148,             0.00054875,             0.00054875,             0.00054875
                     19,                0.54316,                 0.3563,                 0.9695,                0.99469,                      1,                  0.995,                0.91763,                0.45913,                0.24631,                 0.8682,              0.0005075,              0.0005075,              0.0005075
                     20,                0.53235,                 0.3477,                0.96127,                0.99764,                      1,                  0.995,                0.92794,                0.45388,                0.25015,                0.86462,             0.00046625,             0.00046625,             0.00046625
                     21,                 0.5379,                0.34237,                0.96793,                 0.9826,                      1,                0.98776,                0.92324,                0.43044,                0.23371,                0.86854,               0.000425,               0.000425,               0.000425
                     22,                0.52338,                0.34104,                0.96162,                0.99571,                      1,                  0.995,                0.92406,                0.44644,                0.23934,                0.86316,             0.00038375,             0.00038375,             0.00038375
                     23,                0.49811,                0.33434,                0.94962,                0.99777,                      1,                  0.995,                0.93734,                0.42803,                0.23004,                0.85227,              0.0003425,              0.0003425,              0.0003425
                     24,                0.49181,                0.32709,                0.94761,                0.99717,                      1,                  0.995,                0.92889,                0.43875,                0.22607,                 0.8545,             0.00030125,             0.00030125,             0.00030125
                     25,                0.49446,                0.32236,                0.94936,                0.99686,                      1,                  0.995,                0.93384,                0.41803,                0.22125,                0.85905,                0.00026,                0.00026,                0.00026
                     26,                0.48312,                0.31085,                0.94241,                0.99582,                      1,                  0.995,                0.93415,                0.41017,                0.21129,                0.85799,             0.00021875,             0.00021875,             0.00021875
                     27,                0.46655,                0.29982,                0.93728,                0.99645,                      1,                  0.995,                0.93566,                0.41283,                0.21846,                0.84403,              0.0001775,              0.0001775,              0.0001775
                     28,                0.45286,                0.29797,                0.93653,                0.99805,                0.99774,                  0.995,                0.93639,                0.39431,                0.21006,                0.83952,             0.00013625,             0.00013625,             0.00013625
                     29,                0.44715,                0.29093,                0.93224,                0.99367,                      1,                  0.995,                 0.9399,                0.39786,                0.20368,                0.84649,                9.5e-05,                9.5e-05,                9.5e-05
